Paper,Cleaned,CleanedBy,WordsAddedToDict,TyposFixed,WordsRemoved,RenderingIssues,ManuallyRemoveAuthorLicenseDOI,Notes
/home/cooper/src/FAccT-MF/Data/TXTs/CleanedPapers_LDA/2018/binns18a,1,AFC,1,"literatureincluding,fairnessand,benignonly,egalitarianismthe,groupeg,makerthat,example-or,casesoftenimpactmight,varietiesin,lippertrasmussen,vis—vis,selectionboth",1,0,0,
/home/cooper/src/FAccT-MF/Data/TXTs/CleanedPapers_LDA/2018/barabas18a,1,AFC,1,"predictionsreframing,statisticallydriven,doubleencoding,predictionoriented,riskneeds,hannahmoffat,propensityscore,empiricallygrounded",1,0,0,
/home/cooper/src/FAccT-MF/Data/TXTs/CleanedPapers_LDA/2018/buolamwini18a,1,AFC,1,"techlightestdarkest,evaluationapril,learningbased",1,0,0,
/home/cooper/src/FAccT-MF/Data/TXTs/CleanedPapers_LDA/2018/burke18a,1,AFC,1,"smallscale,thirdworld,userfocused,fairnessrelated,itembased,factorizationbased,-dimensional,rrromei,finegrained,filmnoir,documentaryfilmnoir,lenderborrower,providerside, andor,consumerand,providerfairness",1,0,0,
/home/cooper/src/FAccT-MF/Data/TXTs/CleanedPapers_LDA/2018/chouldechova18a,1,AFC,1,"groupswill,communitiessuch,biasesfor,governmentand,datadriven,screenedin,modelthe,afstthe,overoptimism,meaningfulfurthermore,meaningfulinformation,predictionwhere,re-arrestthan,post-implementation,nonnegligible",1,0,0,
/home/cooper/src/FAccT-MF/Data/TXTs/CleanedPapers_LDA/2018/datta18a,1,AFC,1,"advertiserthe, advertisersother,consumersmale,gendertargeted,executivelevel,soa,revenuefor,actorsother,adsdid,agencyan,employergiven,classthe,sexsegregated,icsand,learninggoogle,itselfirrespective ",1,0,0,
/home/cooper/src/FAccT-MF/Data/TXTs/CleanedPapers_LDA/2018/dwork18a,1,AFC,1,"out-ofsample,thoughtprovoking,wellcalibrated,measuretheoretic,out-ofgroup",1,0,0,
/home/cooper/src/FAccT-MF/Data/TXTs/CleanedPapers_LDA/2018/ekstrand18a,1,AFC,1,"privacyprotecting,wellversed,solitudeeg,postprocessing,multicriteria,privacypreserving,who-tofollow ",1,0,0,
/home/cooper/src/FAccT-MF/Data/TXTs/CleanedPapers_LDA/2018/ekstrand18b,1,AFC,1,"detrimentalinteraction,prugelbennett,mostplayed,ageactivity,kruskalwallis,userbased,one-size-fitsall,widelydistributed",1,0,0,
/home/cooper/src/FAccT-MF/Data/TXTs/CleanedPapers_LDA/2018/ensign18a,1,AFC,1,policywithout,1,0,0,
/home/cooper/src/FAccT-MF/Data/TXTs/CleanedPapers_LDA/2018/kamishima18a,1,AFC,1,"independenceenhanced,independenceenhancement, keywordmatching, clickthrough,sushiage, toprated,fairnessaware",1,0,0,
/home/cooper/src/FAccT-MF/Data/TXTs/CleanedPapers_LDA/2018/madaan18a,1,AFC,1,"stereotypeshow, mentionsimage, realisesfinds, lovesexplains, manwoman, actionsdaughter-of",1,0,0,
/home/cooper/src/FAccT-MF/Data/TXTs/CleanedPapers_LDA/2018/menon18a,1,AFC,1,"fairnessaware, threemain, discriminativewith, fairnessmeasures, methodindependent, bothmeasures, howwell, wemight, learningfor, distributiondependent, certifyingwhether, themodifiedheaviside, fromfinite, nothingmore, classprobabilities, ofwoodworth, seeappendix, itmeasures, demandingmore, nomatter, howmuch, tradeoffbetween, classprobability, ameasure, thanmen, tomake, formen",1,0,0,
/home/cooper/src/FAccT-MF/Data/TXTs/CleanedPapers_LDA/2018/phillips18a,1,AFC,1,"interpretableactivelearning, maximumclass, modelagnostic, slowcool, boundaryhugging, timeconsuming, percluster",1,0,0,
/home/cooper/src/FAccT-MF/Data/TXTs/CleanedPapers_LDA/2018/speicher18a,1,AFC,1,"maliciousor, highlevel, attributebased, audiencebased, dataincluding, datathat, selfreported, recordseven, sentenceare, userprovided, andin, casesnot, similarlyor, exaggeratedlybiased, resultsparticularly, attributessuggest",1,0,0,
../../Data/TXTs/CleanedPapers_LDA/2019/3287560.3287561.txt,1,AFC,1,"naturalmeasures, fairnesswas, modelincluding, contrivedin, conditionthat, inputis, formanipulating, africanamerican, africanamericans, equalizationmethod, deferralsthey, themyriad, investigationmight, approachwe",1,0,1,
../../Data/TXTs/CleanedPapers_LDA/2019/3287560.3287562.txt,1,AFC,1,"twolayer, themodel, recoveredmodel, unknownmodel, wefind, reconstructedmodel, amodel",1,0,1,
../../Data/TXTs/CleanedPapers_LDA/2019/3287560.3287563.txt,1,AFC,1,"raciallyindicative, judgeslimiting, sentencingthey, concernthe, judgesmore, assessmentsthey, contextthus, likelihoodor, riskthat, convictionsessentially,howmuch, amodel, groupwere, categoriesthose, asmeasured, predictionmade, beingmade, serveand",1,1,1,
../../Data/TXTs/CleanedPapers_LDA/2019/3287560.3287564.txt,1,AFC,1,"computingmethodologieslatent, variablemodels, confoundersunobserved, outcomeoften, effectthe, operationwhen, bymaximizing, treatmentthat, dayto-day, outcomean, modeldepicted, datageneration, fairnessaccuracy, thesemodels, autoencoderbased, inmeasuring, benchmarkfor, architectureit, fairaware, themost, removedmean, boundwithout, calculatedwhile, sincewe, ideawe, ",1,0,1,
../../Data/TXTs/CleanedPapers_LDA/2019/3287560.3287565.txt,1,AFC,1,decisonthey,1,0,1,
../../Data/TXTs/CleanedPapers_LDA/2019/3287560.3287566.txt,1,AFC,1,,0,1,1,
../../Data/TXTs/CleanedPapers_LDA/2019/3287560.3287567.txt,1,AFC,1,"teamand, databaseswe, waysand, problemsthat, predictthe, variableis, stand-insproxies, impactfor, admissionsthe, scholarshipthe, concernhow, bearand, waytransformations, problemshow, problemformulation, workthe, waysare, painstakinglyaligning, vision-rule-based, settingsthe, outcomestable, relationdifferent, processleads, qualityindeed, ratea, qualitya, sciencethe, endeavorsa, streetdata, kddan, problemsthe, interchangeablyif, allthe, practicethat, modelsformal, translationsa, problemsis, discoursesas, formulationof, translationcontingent, translationfinding, phasean, highlevel, thingas, decisionswithout, financeabilitya, datasetsinternal, itthe, formulationnot, qualityit, statisticshtml",0,0,1,
../../Data/TXTs/CleanedPapers_LDA/2019/3287560.3287568.txt,1,AFC,1,"sexualitywangkosinski, andmathematics, protocolbased, empiricismwas, bothmeasure, theworld, entwinedwith, throughmodulation, wangkosinski, ",1,1,1,
../../Data/TXTs/CleanedPapers_LDA/2019/3287560.3287569.txt,1,AFC,1,"priorwork, humancomprehensible, challengewith, normwith, theweights, perexplanation, themore, themone",1,0,1,
../../Data/TXTs/CleanedPapers_LDA/2019/3287560.3287570.txt,1,AFC,1,"humancentered,state-ofthe-art, ormost, electionmechanism, recommendationwith, chamberlaincourant, researchworks, strategyproofness,relatedworks",1,1,1,
../../Data/TXTs/CleanedPapers_LDA/2019/3287560.3287571.txt,1,AFC,1,"wewrite, theoryonline,relaxedmoreover",1,0,1,
../../Data/TXTs/CleanedPapers_LDA/2019/3287560.3287572.txt,1,AFC,1,"indicatorssuch, pronounsin, methodologiesmachine, popularand, consequencesis, tasksdetermining, occupationcan, gapie, gendersfor, philosophywe, curtainthe, relatedwork, helpwanted, andwe, pronounsare, attorneyphotographer, workit, evenwhen, endto-end, fasttext, mechanisman, indicatorsand, fairnessin, futurework, peroccupation, pertoken, imbalanceand, womenie, femalesurgeon, femalenursesurgeon, candidatesie, biographiesie, representationwe, femaley, maley",1,0,1,
../../Data/TXTs/CleanedPapers_LDA/2019/3287560.3287573.txt,1,AFC,1,"covary,corbettdavies,behaviorrelative,recidivism-asmeasured,conditionrelative",1,0,1,
../../Data/TXTs/CleanedPapers_LDA/2019/3287560.3287574.txt,1,AFC,1,"prehder, philton, sciencemachine, humansworkingwith, systemmight, andmost, layerwise, themodel, casesthat, ppoulin",0,0,1,
../../Data/TXTs/CleanedPapers_LDA/2019/3287560.3287575.txt,1,AFC,1,"genealoдy,cateдories,attributesa,categoryafrican-american,onmany,areawhere, themethodological,groupbased, explicitlymade, formen, familiarwhite, notwomenmassey, classificationwas, thatmay, onefourth, intraracially, amachine, selfidentification, scrutinizedwhat, inmachine, learningwe",1,0,1,
../../Data/TXTs/CleanedPapers_LDA/2019/3287560.3287576.txt,1,AFC,1,"ameaningful, highutility, supplementedwith,illustratingwhen, institutionwould, bestresponse,relatedwork,highachieving,havemore, utilityuτ, ifuτ, expectedminimum, reasonnash, equilibriamay",1,0,1,
